ok,ng,ok2
-3.767378772,-1.627670397,-7.358426585
-4.048830112,-3.075618854,-7.945066124
-4.282807731,-4.482875551,-8.226517464
-4.665988471,-5.676500509,-8.324855883
-5.11698881,-6.588674127,-8.111224144
-5.496778569,-7.212614446,-7.582231265
-5.571380129,-7.507629705,-6.632756867
-5.493387589,-7.388945405,-5.486605629
-5.357748389,-6.822651746,-4.167514412
-5.24584605,-5.805357748,-2.736520855
-4.90674805,-4.520176331,-1.220752798
-4.272634791,-3.234994914,0.352661919
-3.546965073,-1.976941336,1.749745677
-2.923024754,-0.783316378,3.041709054
-2.231264836,0.288233299,4.136995592
-1.485249237,1.061376738,4.98134961
-0.769752458,1.498813157,5.537470329
-0.1017294,1.651407257,5.723974229
0.383180739,1.586978637,5.564598169
0.725669719,1.315700237,5.20176331
1.054594778,0.827399118,4.581213971
1.278399457,0.09155646,3.658867413
1.288572397,-0.718887759,2.621227535
1.068158698,-1.363173957,1.312309257
0.661241099,-1.966768396,0.02373686
0.21702272,-2.597490675,-1.393692777
-0.359443879,-3.251949813,-2.882332994
-1.047812818,-3.760596812,-4.272634791
-1.841302136,-3.886063072,-5.523906409
-2.689047135,-3.784333672,-6.734486267
-3.489318413,-3.608002713,-7.802644964
-4.306544591,-3.333333333,-8.738555443
-5.12377077,-2.970498474,-9.464225161
-5.839267548,-2.597490675,-9.9830451
-6.466598847,-2.360122075,-10.34927094
-6.927772126,-2.302475415,-10.62394032
-7.226178366,-2.278738555,-10.55272974
-7.416073245,-2.390640895,-10.27806036
-7.463546965,-2.461851475,-9.89487962
-7.507629705,-2.566971855,-9.430315361
-7.466937945,-2.750084774,-8.786029162
-7.280434045,-2.889114954,-7.880637504
-7.039674466,-3.045100034,-6.900644286
-6.714140387,-3.299423533,-5.852831468
-6.388606307,-3.360461173,-4.79484571
-6.080027128,-3.190912174,-3.702950153
-5.662936589,-2.916242794,-2.522889115
-5.24584605,-2.560189895,-1.461512377
-4.81858257,-2.105798576,-0.467955239
-4.381146151,-1.624279417,0.457782299
-3.886063072,-1.163106138,1.247880638
-3.536792133,-0.915564598,1.827738216
-3.296032553,-0.871481858,2.170227196
-2.953543574,-0.966429298,2.278738555
-2.655137335,-1.156324178,2.180400136
-2.322821295,-1.634452357,1.902339776
-2.007460156,-2.302475415,1.332655137
-1.780264496,-3.001017294,0.413699559
-1.627670397,-3.543574093,-0.698541879
-1.488640217,-3.987792472,-2.010851136
-1.519159037,-4.214988132,-3.624957613
-1.797219396,-4.164123432,-5.401831129
-1.919294676,-4.052221092,-7.171922686
-2.126144456,-3.845371312,-8.989487962
-2.404204815,-3.584265853,-10.77314344
-2.916242794,-3.245167854,-12.37029502
-3.499491353,-2.628009495,-13.86232621
-3.916581892,-1.746354697,-15.05256019
-4.479484571,-0.610376399,-15.88335029
-5.14411665,0.576466599,-16.32078671
-5.913869108,2.034587996,-16.49711767
-6.493726687,3.431671753,-16.17836555
-6.992200746,4.499830451,-15.45608681
-7.395727365,5.23567311,-14.49983045
-7.802644964,5.422177009,-13.23838589
-8.148524924,5.23228213,-11.70905392
-8.131570024,4.713462191,-9.87792472
-7.931502204,4.042048152,-7.941675144
-7.392336385,3.194303154,-5.930824008
-6.778569006,2.346558155,-3.994574432
-6.056290268,1.488640217,-2.115971516
-5.24245507,0.501865039,-0.261105459
-4.299762631,-0.545947779,1.376737877
-3.248558834,-1.580196677,2.865378094
-2.119362496,-2.624618515,4.123431672
-0.979993218,-3.594438793,5.24245507
0.17633096,-4.411664971,6.107154968
1.363173957,-4.78467277,6.663275687
2.502543235,-4.727026111,7.032892506
3.550356053,-4.364191251,7.209223466
4.357409291,-3.865717192,7.192268566
5.02543235,-3.197694134,6.920990166
5.591726009,-2.373685995,6.330959647
5.981688708,-1.505595117,5.551034249
6.137673788,-0.698541879,4.598168871
6.069854188,-0.07799254,3.380807053
5.788402848,0.508646999,1.946422516
5.361139369,1.020684978,0.362834859
4.77110885,1.468294337,-1.336046117
3.903017972,1.841302136,-3.112919634
2.838250254,2.143099356,-4.97456765
1.685317057,2.302475415,-6.795523906
0.525601899,2.258392675,-8.470668023
-0.674805019,1.946422516,-9.80671414
-1.976941336,1.529331977,-10.99016616
-3.248558834,1.091895558,-11.87182096
-4.384537131,0.623940319,-12.26856562
-5.22889115,0.05764666,-12.2550017
-5.825703628,-0.528992879,-11.7972194
-6.236012208,-1.007121058,-10.92234656
-6.324177687,-1.268226517,-9.674465921
-6.086809088,-1.264835537,-8.090878264
-5.496778569,-1.102068498,-6.215666328
-4.80162767,-0.817226178,-4.164123432
-3.763987792,-0.454391319,-2.136317396
-2.400813835,-0.11190234,-0.01356392
-0.885045778,0.23397762,2.112580536
0.569684639,0.491692099,4.116649712
2.146490336,0.851135978,5.988470668
3.743641913,1.288572397,7.731434385
5.381485249,1.688708037,9.257375381
6.785350966,2.021024076,10.5425568
7.880637504,2.332994235,11.5768057
8.857239742,2.577144795,12.42115972
9.694811801,2.641573415,13.07222787
10.2373686,2.668701255,13.58426585
10.39674466,2.624618515,13.80128857
10.27806036,2.522889115,13.70295015
9.92878942,2.295693455,13.47236351
9.399796541,1.905730756,13.13326551
8.640217023,1.400474737,12.53984401
7.521193625,0.949474398,11.77687352
6.252967107,0.573075619,10.88504578
