date,v
1950/11/29,111.75
1950/11/30,109.75
1950/12/1,110.05
1950/12/4,107.03
1950/12/5,106.43
1950/12/6,106.58
1950/12/7,105.94
1950/12/8,103.62
1950/12/11,103.78
1950/12/12,102.55
1950/12/13,101.04
1950/12/14,101.15
1950/12/15,101.58
1950/12/18,101.42
1950/12/19,100.76
1950/12/20,100.84
1950/12/21,99.49
1950/12/22,98.27
1950/12/25,100.42
1950/12/26,101.03
1950/12/27,101.21
1950/12/28,101.91
1951/1/4,102.1
1951/1/5,102.81
1951/1/8,104.9
1951/1/9,106.36
1951/1/10,105.79
1951/1/11,106.54
1951/1/12,108.76
1951/1/16,109.29
1951/1/17,108.8
1951/1/18,109.23
1951/1/19,108.86
1951/1/22,108.22
1951/1/23,110.13
1951/1/24,110.47
1951/1/25,111.08
1951/1/26,110.36
1951/1/29,110.56
1951/1/30,112.59
1951/1/31,115.43
1951/2/1,115
1951/2/2,117.01
1951/2/5,119.43
1951/2/6,119.24
1951/2/7,120.47
1951/2/8,120.1
1951/2/9,118.23
1951/2/12,119.1
1951/2/13,119.49
1951/2/14,118.31
1951/2/16,118.24
1951/2/19,119.8
1951/2/20,119.56
1951/2/21,119.15
1951/2/22,119.86
1951/2/23,121.88
1951/2/26,120.75
1951/2/27,120.9
1951/2/28,121.84
1951/3/1,122.71
1951/3/2,123.93
1951/3/5,127.89
1951/3/6,126.89
1951/3/7,128.9
1951/3/8,130.55
1951/3/9,129.9
1951/3/12,130.14
1951/3/13,131.67
1951/3/14,132.5
1951/3/15,132.91
1951/3/16,132.97
1951/3/19,129.75
1951/3/20,127.81
1951/3/22,125.72
1951/3/23,125.95
1951/3/26,125.44
1951/3/27,125.07
1951/3/28,125.76
1951/3/29,123.1
1951/3/30,123.32
1951/4/2,124.87
1951/4/3,123.78
1951/4/4,122.75
1951/4/5,122
1951/4/6,122.1
1951/4/9,121.64
1951/4/10,122.16
1951/4/11,122.07
1951/4/12,119.4
1951/4/13,117.54
1951/4/16,119.03
1951/4/17,119.22
1951/4/18,121.02
1951/4/19,122.87
1951/4/20,121.94
1951/4/23,121
1951/4/24,122.41
1951/4/25,123.02
1951/4/26,122.81
1951/4/27,121.5
1951/4/30,120.82
1951/5/1,121.11
1951/5/2,122.71
1951/5/4,123.2
1951/5/7,123.71
1951/5/8,124.54
1951/5/9,124.49
1951/5/10,124.17
1951/5/11,123.67
1951/5/14,123.63
1951/5/15,123.19
1951/5/16,123.73
1951/5/17,123.98
1951/5/18,124.66
1951/5/21,125.95
1951/5/22,126.32
1951/5/23,126.22
1951/5/24,125.11
1951/5/25,125.4
1951/5/28,126.08
1951/5/29,125.53
1951/5/30,125.71
1951/5/31,127.23
1951/6/1,127.32
1951/6/4,129.34
1951/6/5,132.47
1951/6/6,132.08
1951/6/7,131.46
1951/6/8,132.55
1951/6/11,135.14
1951/6/12,134.95
1951/6/13,135.71
1951/6/14,136.29
1951/6/15,136.42
1951/6/18,134.13
1951/6/19,132.36
1951/6/20,132.86
1951/6/21,133.14
1951/6/22,133.65
