ok	ng
9.92878942	2.295693455
9.399796541	1.905730756
8.640217023	1.400474737
7.521193625	0.949474398
6.252967107	0.573075619
4.97117667	0.2034588
3.726687013	-0.15598508
2.407595795	-0.376398779
1.193624958	-0.556120719
0.07460156	-0.718887759
-0.776534418	-0.885045778
-1.454730417	-1.108850458
-1.919294676	-1.278399457
-2.085452696	-1.471685317
-2.115971516	-1.692099017
-1.915903696	-1.817565276
-1.508986097	-1.566632757
-0.868090878	-1.224143778
-0.0339098	-0.803662258
0.895218718	-0.495083079
1.868429976	-0.291624279
3.011190234	-0.0847745
4.259070871	0.07121058
5.412004069	0.24075958
6.415734147	0.403526619
7.368599525	0.603594439
8.297728043	0.786707358
9.121736182	0.905391658
9.715157681	0.935910478
10.08138352	0.966429298
10.30179722	1.078331638
10.42048152	1.125805358
10.15937606	1.122414378
9.616819261	1.041030858
8.799593082	1.054594778
7.822990844	1.054594778
6.483553747	1.017293998
4.97117667	0.922346558
3.452017633	0.905391658
1.841302136	0.942692438
0.23058664	0.824008138
-1.336046117	0.590030519
-2.702611055	0.376398779
-3.757205832	0.254323499
-4.425228891	0.18989488
-4.696507291	0.14920312
-4.594777891	0.09494744
-3.960664632	0.20006782
-2.831468294	0.281451339
-1.400474737	0.373007799
0.17633096	0.393353679
1.919294676	0.505256019
3.862326212	0.729060699
5.832485588	0.878263818
7.650050865	0.830790098
9.023397762	0.684977959
10.18311292	0.562902679
11.16649712	0.311970159
11.90233978	-0.05764666
12.2380468	-0.590030519
12.16005426	-1.132587318
11.89216684	-1.685317057
11.3903018	-2.285520515
10.6103764	-2.872160054
9.545608681	-3.255340793
8.267209223	-3.455408613
6.893862326	-3.587656833
5.479823669	-3.543574093
4.120040692	-3.302814513
2.838250254	-2.892505934
1.576805697	-2.316039335
0.515428959	-1.671753137
-0.352661919	-1.013903018
-1.030857918	-0.339097999
-1.627670397	0.383180739
-2.183791116	1.088504578
-2.451678535	1.695489997
-2.410986775	2.271956595
-2.349949135	2.814513394
-2.282129535	3.153611394
-2.160054256	3.353679213
-1.915903696	3.401152933
-1.468294337	3.424889793
-0.830790098	3.414716853
-0.328925059	3.404543913
0.0508647	3.387589013
0.461173279	3.370634113
0.824008138	3.401152933
1.173279078	3.302814513
1.397083757	3.214649034
1.444557477	3.211258054
1.437775517	3.228212954
1.288572397	3.184130214
0.942692438	3.034927094
0.311970159	2.851814174
-0.288233299	2.689047135
-0.908782638	2.455069515
-1.559850797	2.136317396
-2.288911495	1.732790777
-2.882332994	1.369955917
-3.360461173	1.034248898
-3.655476433	0.464564259
-3.736859953	-0.24754154
-3.618175653	-0.874872838
-3.194303154	-1.342828077
-2.434723635	-1.712444897
-1.600542557	-1.875211936
-0.603594439	-1.973550356
0.491692099	-1.976941336
1.790437436	-1.827738216
3.007799254	-1.695489997
4.062394032	-1.542895897
5.03560529	-1.254662597
5.849440488	-0.712105799
6.368260427	-0.254323499
6.486944727	0.08138352
6.273312987	0.406917599
5.808748728	0.729060699
5.19498135	1.132587318
4.292980671	1.536113937
3.129874534	1.888775856
1.898948796	2.275347575
0.695150899	2.672092235
-0.508646999	2.851814174
-1.719226857	2.770430654
-2.838250254	2.668701255
-3.808070532	2.539844015
-4.452356731	2.444896575
-4.95083079	2.366904035
-5.303492709	2.163445236
-5.520515429	2.041369956
-5.554425229	1.929467616
-5.337402509	1.793828416
-5.07290607	1.590369617
-4.669379451	1.353001017
-4.211597152	1.166497118
-3.797897592	0.871481858
-3.448626653	0.406917599
-3.099355714	0.0339098
-2.773821634	-0.298406239
-2.522889115	-0.623940319
-2.383858935	-0.969820278
-2.410986775	-1.373346897
-2.455069515	-1.732790777
-2.526280095	-1.892166836
-2.634791455	-1.987114276
-2.838250254	-1.997287216
-2.953543574	-1.861648016
-2.933197694	-1.712444897
-2.960325534	-1.593760597
-3.021363174	-1.549677857
-3.197694134	-1.454730417
-3.411325873	-1.288572397
-3.557138013	-1.125805358
-3.825025432	-1.054594778
-4.194642252	-0.990166158
-4.462529671	-0.956256358
-4.723635131	-0.935910478
-4.95761275	-0.905391658
-5.12037979	-0.820617158
-5.09664293	-0.596812479
-4.82536453	-0.305188199
-4.577822991	-0.1017294
-4.208206172	0.02034588
-3.723296033	0.19328586
-3.126483554	0.376398779
-2.533062055	0.556120719
-2.021024076	0.742624619
-1.627670397	0.878263818
-1.227534758	1.088504578
-0.759579518	1.244489658
-0.484910139	1.342828077
-0.498474059	1.359782977
-0.620549339	1.458121397
-0.871481858	1.522550017
-1.353001017	1.380128857
-2.071888776	1.064767718
-2.882332994	0.779925398
-3.753814852	0.576466599
-4.679552391	0.406917599
-5.700237369	0.23058664
-6.727704307	0.12546626
-7.639877925	0.15598508
-8.328246863	0.332316039
-8.769074262	0.566293659
-9.159036962	0.793489318
-9.365886741	1.139369278
-9.294676161	1.603933537
-9.047134622	1.929467616
-8.748728383	2.173618176
-8.440149203	2.339776195
-8.036622584	2.509325195
-7.538148525	2.614445575
-7.158358766	2.539844015
-6.948118006	2.336385215
-6.975245846	2.115971516
-7.029501526	1.868429976
-7.226178366	1.430993557
-7.589013225	0.820617158
-7.968802984	0.24075958
-8.162088844	-0.23058664
-8.392675483	-0.617158359
-8.545269583	-0.973211258
-8.596134283	-1.146151238
-8.457104103	-1.085113598
-8.111224144	-0.769752458
-7.544930485	-0.24415056
-6.720922347	0.305188199
-5.730756189	1.044421838
-4.625296711	1.841302136
-3.662258393	2.556798915
-2.865378094	3.167175314
-2.007460156	3.679213293
-1.207188878	4.120040692
-0.552729739	4.330281451
-0.23397762	4.357409291
-0.05764666	4.211597152
-0.10851136	3.957273652
-0.281451339	3.580874873
-0.678195999	3.072227874
-1.366564937	2.492370295
-2.041369956	1.976941336
-2.682265175	1.678535097
-3.353679213	1.420820617
-4.089521872	1.258053577
-4.727026111	1.247880638
-5.17124449	1.508986097
-5.523906409	1.902339776
-5.730756189	2.299084435
-5.764665988	2.689047135
-5.544252289	3.116310614
-5.03899627	3.560528993
-4.442183791	3.791115632
-3.916581892	3.757205832
-3.323160393	3.730077993
-2.505934215	3.648694473
-1.664971177	3.377416073
-0.878263818	2.984062394
-0.14920312	2.424550695
0.451000339	1.824347236
1.200406918	1.142760258
1.831129196	0.393353679
2.332994235	-0.345879959
2.733129875	-0.963038318
3.187521194	-1.288572397
3.414716853	-1.386910817
3.363852153	-1.336046117
3.153611394	-1.180061038
2.946761614	-0.844354018
2.644964395	-0.556120719
2.248219736	-0.295015259
1.678535097	-0.15937606
1.119023398	-0.0847745
0.712105799	-0.04069176
0.261105459	-0.05764666
-0.24415056	-0.2373686
-0.654459139	-0.484910139
-0.834181078	-0.783316378
-0.735842659	-1.258053577
-0.569684639	-1.644625297
-0.2204137	-1.854866056
0.417090539	-1.898948796
1.149542218	-1.776873516
1.905730756	-1.688708037
2.770430654	-1.424211597
3.658867413	-0.915564598
4.510003391	-0.12207528
5.19159037	0.769752458
5.730756189	1.553068837
6.130891828	2.434723635
6.544591387	3.268904713
6.765005086	3.784333672
6.819260766	3.991183452
6.792132926	3.991183452
6.625974907	3.763987792
6.300440827	3.292641573
5.812139708	2.587317735
5.24923703	1.583587657
4.645642591	0.461173279
4.126822652	-0.664632079
3.747032893	-1.787046456
3.455408613	-2.889114954
3.279077653	-3.831807392
3.184130214	-4.496439471
3.207867074	-5.06612411
3.241776874	-5.388267209
3.428280773	-5.378094269
3.574092913	-5.07290607
3.770769752	-4.574432011
3.991183452	-4.059003052
4.252288911	-3.489318413
4.408273991	-2.933197694
4.350627331	-2.390640895
4.143777552	-2.007460156
3.882672092	-1.820956256
3.455408613	-1.651407257
2.926415734	-1.570023737
2.200746016	-1.742963717
1.492031197	-1.976941336
0.722278739	-2.295693455
-0.14581214	-2.543234995
-0.959647338	-2.746693795
-1.668362157	-2.895896914
-2.312648355	-2.987453374
-2.838250254	-2.872160054
-3.221430994	-2.597490675
-3.506273313	-2.295693455
-3.841980332	-1.824347236
-3.828416412	-1.132587318
-3.635130553	-0.383180739
-3.170566294	0.295015259
-2.536453035	0.810444218
-1.712444897	1.169888098
-0.776534418	1.369955917
0.15937606	1.380128857
1.013903018	1.139369278
1.705662937	0.705323839
2.380467955	0.16615802
3.011190234	-0.383180739
3.516446253	-1.024075958
3.855544252	-1.868429976
4.086130892	-2.522889115
4.354018311	-3.136656494
4.387928111	-3.648694473
4.191251272	-4.011529332
3.869108172	-4.228552052
3.546965073	-4.103085792
3.194303154	-3.845371312
2.722956935	-3.530010173
2.136317396	-3.194303154
1.549677857	-2.712783995
0.993557138	-2.139708376
0.474737199	-1.712444897
-0.06442862	-1.369955917
-0.559511699	-1.105459478
-1.081722618	-0.942692438
-1.624279417	-1.000339098
-2.010851136	-1.308918277
-2.312648355	-1.776873516
-2.566971855	-2.180400136
-2.634791455	-2.519498135
-2.533062055	-2.933197694
-2.221091896	-3.377416073
-1.783655476	-3.713123093
-1.312309257	-3.858935232
-0.807053238	-3.906408952
-0.23397762	-3.811461512
0.505256019	-3.526619193
1.264835537	-3.007799254
2.000678196	-2.302475415
2.783994574	-1.522550017
3.638521533	-0.668023059
4.533740251	0.16615802
5.286537809	0.851135978
5.985079688	1.471685317
6.714140387	1.837911156
7.371990505	2.092234656
7.870464564	2.248219736
8.134961004	2.139708376
8.182434724	1.919294676
8.236690404	1.505595117
8.223126484	1.041030858
7.975584944	0.528992879
7.511020685	-0.0169549
7.043065446	-0.545947779
6.476771787	-0.837572058
5.886741268	-0.990166158
5.18480841	-1.108850458
4.347236351	-1.142760258
3.591047813	-1.020684978
2.861987114	-0.674805019
2.173618176	-0.257714479
1.464903357	0.14920312
0.851135978	0.474737199
0.400135639	0.756188538
-0.01017294	1.037639878
-0.427263479	1.098677518
-0.610376399	1.041030858
-0.613767379	0.786707358
-0.498474059	0.498474059
-0.274669379	0.12546626
0.1017294	-0.362834859
0.695150899	-0.807053238
1.376737877	-1.386910817
1.963377416	-1.956595456
2.550016955	-2.468633435
3.241776874	-2.760257714
3.967446592	-2.889114954
4.642251611	-2.834859274
5.16446253	-2.655137335
5.645981689	-2.377076975
6.168192608	-1.722617837
6.659884707	-0.993557138
6.842997626	-0.427263479
6.839606646	0.0339098
6.792132926	0.393353679
6.646320787	0.749406579
6.181756528	1.061376738
5.473041709	1.247880638
4.662597491	1.325873177
3.797897592	1.430993557
2.746693795	1.539504917
1.570023737	1.458121397
0.383180739	1.258053577
-0.542556799	1.146151238
-1.369955917	1.227534758
-2.234655816	1.366564937
-3.028145134	1.559850797
-3.560528993	1.729399797
-3.757205832	1.939640556
-3.747032893	2.163445236
-3.502882333	2.431332655
-2.990844354	2.597490675
-2.149881316	2.828077314
-1.237707698	2.878942014
-0.288233299	2.855205154
0.718887759	2.594099695
1.861648016	2.258392675
3.034927094	1.915903696
3.994574432	1.471685317
4.727026111	0.976602238
5.347575449	0.393353679
5.927433028	-0.250932519
6.151237708	-0.885045778
6.195320448	-1.481858257
6.232621228	-2.014242116
6.236012208	-2.526280095
6.046117328	-2.709393015
5.557816209	-2.875551034
4.93048491	-2.773821634
4.387928111	-2.495761275
3.974228552	-1.990505256
3.441844693	-1.525940997
2.770430654	-1.010512038
2.299084435	-0.586639539
2.051542896	-0.0169549
1.766700576	0.579857579
1.478467277	1.139369278
1.169888098	1.648016277
1.000339098	2.105798576
0.902000678	2.492370295
0.807053238	2.726347915
0.644286199	2.685656155
0.539165819	2.468633435
0.579857579	2.082061716
0.579857579	1.685317057
0.556120719	1.119023398
0.518819939	0.484910139
0.545947779	-0.0847745
0.559511699	-0.566293659
0.617158359	-0.959647338
0.742624619	-1.369955917
0.756188538	-1.661580197
0.756188538	-1.800610376
0.837572058	-1.888775856
0.868090878	-1.831129196
0.739233639	-1.573414717
0.495083079	-1.213970838
0.17293998	-0.793489318
-0.23058664	-0.308579179
-0.657850119	0.16276704
-1.376737877	0.627331299
-2.187182096	1.044421838
-2.872160054	1.356391997
-3.509664293	1.529331977
-4.120040692	1.671753137
-4.80840963	1.736181757
-5.388267209	1.559850797
-5.801966768	1.186842998
-6.022380468	0.776534418
-6.174974568	0.335707019
-6.320786707	-0.1356392
-6.283485927	-0.749406579
-5.937605968	-1.441166497
-5.405222109	-1.973550356
-4.96439471	-2.299084435
-4.594777891	-2.512716175
-4.126822652	-2.756866734
-3.526619193	-2.767039674
-2.950152594	-2.638182435
-2.617836555	-2.556798915
-2.434723635	-2.451678535
-2.119362496	-2.448287555
-1.736181757	-2.275347575
-1.824347236	-1.959986436
-2.214309936	-1.664971177
-2.566971855	-1.346219057
-2.841641234	-0.969820278
-3.119701594	-0.549338759
-3.696168193	-0.21363174
-4.370973211	-0.00339098
-4.89318413	0.19667684
-5.10681587	0.417090539
-5.23567311	0.586639539
-5.489996609	0.729060699
-5.652763649	0.864699898
-5.534079349	1.061376738
-5.364530349	1.315700237
-5.23567311	1.451339437
-5.07968803	1.420820617
-4.76432689	1.322482197
-4.198033232	1.230925738
-3.604611733	0.973211258
-3.082400814	0.552729739
-2.485588335	0.09833842
-1.654798237	-0.349270939
-0.803662258	-0.773143438
-0.23058664	-1.224143778
0.24415056	-1.681926077
0.586639539	-2.078670736
0.796880298	-2.339776195
0.783316378	-2.573753815
0.620549339	-2.756866734
0.345879959	-2.875551034
-0.01017294	-2.794167514
-0.542556799	-2.634791455
-1.298745337	-2.282129535
-2.027806036	-1.871820956
-2.763648694	-1.403865717
-3.597829773	-0.868090878
-4.428619871	-0.288233299
-5.03899627	0.356052899
-5.425567989	1.088504578
-5.707019329	1.807392336
